Accession	Cell	TF	ES	pval.adj	condition	control	treatment
ENCSR000EFZ.UBTF.K562	K562	UBTF	-0.33883	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGA.TBL1XR1.K562	K562	TBL1XR1	-0.3768	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGB.TBL1XR1.K562	K562	TBL1XR1	-0.3538	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGC.RCOR1.K562	K562	RCOR1	-0.35657	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGD.BACH1.K562	K562	BACH1	-0.345	0.0375794621026895	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGE.EP300.K562	K562	EP300	-0.34713	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGG.RCOR1.K562	K562	RCOR1	-0.33844	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGH.JUN.K562	K562	JUN	-0.31597	0.299141104294479	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGI.MAFF.K562	K562	MAFF	0.30835	0.405510406342914	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGJ.MYC.K562	K562	MYC	-0.34323000000000004	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGK.IRF1.K562	K562	IRF1	-0.33654	0.121346801346801	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGL.IRF1.K562	K562	IRF1	-0.32976	0.140481927710843	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGM.CTCF.K562	K562	CTCF	-0.34115999999999996	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGN.JUND.K562	K562	JUND	-0.33891	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGO.RFX5.K562	K562	RFX5	-0.37887	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGP.ZNF143.K562	K562	ZNF143	-0.34736999999999996	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGQ.NFYB.K562	K562	NFYB	-0.36286	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGR.NFYA.K562	K562	NFYA	-0.38703000000000004	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGS.MYC.K562	K562	MYC	-0.35578000000000004	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGT.IRF1.K562	K562	IRF1	-0.36880999999999997	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGU.IRF1.K562	K562	IRF1	-0.29655	0.7641627246925259	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGV.BHLHE40.K562	K562	BHLHE40	-0.34701	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGW.SMC3.K562	K562	SMC3	-0.34829	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGX.MAFK.K562	K562	MAFK	-0.31411	0.281647785787848	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGY.EP300.K562	K562	EP300	-0.35561	0.0243057324840764	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EGZ.MXI1.K562	K562	MXI1	-0.37141	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EHA.TBP.K562	K562	TBP	-0.34213000000000005	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EHB.TAL1.K562	K562	TAL1	-0.33626	0.00616279069767442	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EHC.GTF2F1.K562	K562	GTF2F1	-0.3541	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EHD.CHD2.K562	K562	CHD2	-0.36161	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EHE.CEBPB.K562	K562	CEBPB	-0.33068000000000003	0.0128571428571429	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EHG.USF2.K562	K562	USF2	-0.36328	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EHH.NRF1.K562	K562	NRF1	-0.39357	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EHJ.STAT1.K562	K562	STAT1	-0.37078	0.00331768388106416	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EHK.STAT1.K562	K562	STAT1	-0.35328000000000004	0.0701742160278746	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EHN.SMARCB1.K562	K562	SMARCB1	-0.33958	0.0890448791714614	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EHR.MYC.NB4	NB4	MYC	-0.36695	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EHS.MAX.NB4	NB4	MAX	-0.36454000000000003	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EHV.EP300.SKNSH	SKNSH	EP300	-0.3139	0.29076765609007205	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EHW.SMC3.SKNSH	SKNSH	SMC3	-0.33748	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EHX.RAD21.SKNSH	SKNSH	RAD21	-0.33762	0.00478195488721805	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EHY.RFX5.SKNSH	SKNSH	RFX5	-0.34285	0.0089451476793249	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EHZ.NRF1.SKNSH	SKNSH	NRF1	-0.37037	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EIA.MXI1.SKNSH	SKNSH	MXI1	-0.34365999999999997	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EIB.JUND.SKNSH	SKNSH	JUND	-0.3175	0.18346153846153798	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EIC.CTCF.SKNSH	SKNSH	CTCF	-0.34592	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EUJ.IKZF1.GM12878	GM12878	IKZF1	-0.35172	0.157629310344828	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EUK.ZNF274.GM12878	GM12878	ZNF274	0.4652	0.068107476635514	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EUL.NR2C2.GM12878	GM12878	NR2C2	-0.31012	0.631553860819828	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EUM.YY1.GM12878	GM12878	YY1	-0.30985999999999997	0.537710960232784	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EUN.ZNF274.ESC_H1	ESC H1	ZNF274	0.27826	0.97	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EUO.CTBP2.ESC_H1	ESC H1	CTBP2	-0.3394	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EUP.MAX.ESC_H1	ESC H1	MAX	-0.3341	0.0102627939142462	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EUQ.SUZ12.ESC_H1	ESC H1	SUZ12	-0.36117	0.0701742160278746	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EUV.TCF7L2.HCT166	HCT166	TCF7L2	-0.3395	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EUY.TCF7L2.HEK293	HEK293	TCF7L2	0.31638	0.313475609756098	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EUZ.TRIM28.HEK293	HEK293	TRIM28	0.316	0.258697001034126	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EVB.ELK4.HEK293	HEK293	ELK4	-0.37404	0.130133928571429	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EVD.ZNF263.HEK293	HEK293	ZNF263	-0.33915	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EVE.TCF7L2.HELA_S3	HELA S3	TCF7L2	-0.33903	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EVF.TCF7L2.HELA_S3	HELA S3	TCF7L2	0.30346999999999996	0.576330451488953	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EVG.ZNF274.HELA_S3	HELA S3	ZNF274	0.28336999999999996	0.9428895184135981	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EVI.ELK4.HELA_S3	HELA S3	ELK4	-0.34663	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EVJ.E2F1.HELA_S3	HELA S3	E2F1	-0.36935999999999997	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EVK.E2F6.HELA_S3	HELA S3	E2F6	-0.36803	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EVL.E2F4.HELA_S3	HELA S3	E2F4	-0.40483	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EVM.E2F1.HELA_S3	HELA S3	E2F1	-0.35567	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EVN.NR2C2.HELA_S3	HELA S3	NR2C2	-0.31364000000000003	0.424208456243854	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EVQ.TCF7L2.HEPG2	HEPG2	TCF7L2	-0.32578	0.289189743589744	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EVS.NR2C2.HEPG2	HEPG2	NR2C2	-0.36303	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EVU.FOS.ENDOTHELIAL_UMBILICAL_VEIN	HUVEC	FOS	-0.32297	0.0691841491841492	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EVW.GATA2.ENDOTHELIAL_UMBILICAL_VEIN	HUVEC	GATA2	0.3079	0.422955665024631	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EVX.ZNF274.K562	K562	ZNF274	-0.32089	0.312716174974568	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EVY.TRIM28.K562	K562	TRIM28	0.31727	0.30254841997961307	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EWD.SETDB1.K562	K562	SETDB1	-0.30994	0.42795677799607107	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EWF.YY1.K562	K562	YY1	-0.34531	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EWG.GATA2.K562	K562	GATA2	-0.33965	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EWI.SETDB1.K562	K562	SETDB1	-0.36	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EWJ.E2F6.K562	K562	E2F6	-0.34768000000000004	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EWL.E2F4.K562	K562	E2F4	-0.34726	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EWM.GATA1.K562	K562	GATA1	-0.34529	0.00331768388106416	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EWN.ZNF263.K562	K562	ZNF263	-0.34052	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EWS.GATA3.MCF7	MCF7	GATA3	-0.31617	0.236045785639958	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EWT.TCF7L2.MCF7	MCF7	TCF7L2	-0.30176	0.577811900191939	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EWU.ZNF217.MCF7	MCF7	ZNF217	0.32539	0.17155412647374102	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EWV.GATA3.MCF7	MCF7	GATA3	0.3609	0.0375794621026895	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EWX.E2F1.MCF7	MCF7	E2F1	-0.34808	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EWY.ZNF274.NT2D1	NT2D1	ZNF274	-0.30577	0.750833333333333	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EXG.YY1.NT2D1	NT2D1	YY1	-0.34431	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EXL.TCF7L2.PANC1	PANC1	TCF7L2	-0.34087	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EXP.GATA1.ERYTHROBLAST	ERYTHROBLAST	GATA1	-0.32769000000000004	0.026733921815889	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EXZ.GATA3.SHSY5Y	SHSY5Y	GATA3	0.31905	0.22292323869610897	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EYB.GATA2.SHSY5Y	SHSY5Y	GATA2	-0.32069000000000003	0.123587443946188	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EYC.TRIM28.U2OS	U2OS	TRIM28	-0.32766999999999996	0.0497472924187726	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EYD.SETDB1.U2OS	U2OS	SETDB1	-0.31609	0.18252406417112302	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EYV.JUND.GM12878	GM12878	JUND	0.34188	0.0809722222222222	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EYZ.FOS.GM12878	GM12878	FOS	-0.42005	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EZC.SMARCA4.HELA_S3	HELA S3	SMARCA4	-0.34573000000000004	0.0154641909814324	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EZD.MYC.HELA_S3	HELA S3	MYC	-0.33952	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EZE.FOS.HELA_S3	HELA S3	FOS	-0.30323	0.5677842003853559	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EZF.MAX.HELA_S3	HELA S3	MAX	-0.34012	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EZK.STAT1.HELA_S3	HELA S3	STAT1	-0.31064	0.3864143426294821	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EZO.SREBF2.HEPG2	HEPG2	SREBF2	-0.46181000000000005	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EZP.SREBF1.HEPG2	HEPG2	SREBF1	-0.37844	0.139073869900772	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EZT.JUN.K562	K562	JUN	-0.29812	0.717058823529412	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EZU.MYC.K562	K562	MYC	-0.36284	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EZV.MYC.K562	K562	MYC	-0.37516	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EZW.JUN.K562	K562	JUN	0.31821	0.289979508196721	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000EZX.JUN.K562	K562	JUN	-0.31411999999999995	0.343004032258065	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000FAD.RAD21.K562	K562	RAD21	-0.33399999999999996	0.0141522029372497	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000FAE.MAX.K562	K562	MAX	-0.36526	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000FAF.NFE2.K562	K562	NFE2	-0.31369	0.37418	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000FAG.MYC.K562	K562	MYC	-0.3679	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000FAH.JUN.K562	K562	JUN	-0.34115	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000FAI.FOS.K562	K562	FOS	-0.34046	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000FAT.STAT2.K562	K562	STAT2	-0.34231999999999996	0.0691841491841492	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000FAU.STAT1.K562	K562	STAT1	-0.35619	0.11271493212669699	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000FAV.STAT1.K562	K562	STAT1	-0.32179	0.4470254403131121	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000FAZ.MYC.K562	K562	MYC	-0.39086	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000FBC.STAT2.K562	K562	STAT2	-0.32776	0.234817136886102	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000FCB.MITF.K562	K562	MITF	-0.35467	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000FCC.NFE2.K562	K562	NFE2	-0.31183	0.287605344295992	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000FCD.SMAD5.K562	K562	SMAD5	-0.34686999999999996	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000FCE.ETV6.K562	K562	ETV6	-0.32229	0.220042149631191	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR004GKA.ZEB2.K562	K562	ZEB2	-0.32966	0.0230729833546735	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR005NMT.ID3.K562	K562	ID3	-0.34851	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR009MBP.HSF1.GM12878	GM12878	HSF1	-0.35771	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR010KFT.NONO.K562	K562	NONO	-0.37746	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR011PEI.ZNF175.K562	K562	ZNF175	-0.33384	0.0400243605359318	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR014RHK.ZNF175.HEPG2	HEPG2	ZNF175	-0.33746	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR017CEO.CUX1.MCF7	MCF7	CUX1	-0.31133	0.328632218844985	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR017GBO.TFDP1.K562	K562	TFDP1	-0.40331999999999996	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR027HML.CTCF.OCILY7	OCILY7	CTCF	-0.34152	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR028NUR.ZNF592.MCF7	MCF7	ZNF592	-0.42352	0.0497472924187726	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR033VAZ.TARDBP.K562	K562	TARDBP	-0.36579	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR038DJJ.SMAD1.K562	K562	SMAD1	-0.35685	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR043EHG.BACH1.A549	A549	BACH1	-0.3198	0.236045785639958	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR049KIZ.CUX1.HEPG2	HEPG2	CUX1	-0.35151	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR054FKH.RAD21.HEPG2	HEPG2	RAD21	-0.33615	0.00478195488721805	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR062HDL.HSF1.MCF7	MCF7	HSF1	-0.41628999999999994	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR064LJN.RFX5.A549	A549	RFX5	-0.37263	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR067HGI.CHD2.A549	A549	CHD2	-0.35998	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR076YPO.RNF2.K562	K562	RNF2	-0.34528000000000003	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR077DKV.CREM.K562	K562	CREM	-0.33599	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR084RDK.CTCF.DOHH2	DOHH2	CTCF	-0.34241	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR085QEV.NBN.K562	K562	NBN	-0.34765	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR090TRI.EZH2.SUDHL6	SUDHL6	EZH2	-0.45086000000000004	0.0102627939142462	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR091GVJ.ATF1.K562	K562	ATF1	-0.34134000000000003	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR093FKD.CREB3.K562	K562	CREB3	-0.35678000000000004	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR094ZCF.CEBPG.MCF7	MCF7	CEBPG	0.32592	0.20008483563096502	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR101FJS.TBL1XR1.HEPG2	HEPG2	TBL1XR1	-0.34088	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR101FJT.ZNF143.HEPG2	HEPG2	ZNF143	-0.34067	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR101FJU.ZNF384.HEPG2	HEPG2	ZNF384	-0.33415	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR103SZL.TFAP4.HEPG2	HEPG2	TFAP4	-0.34468000000000004	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR106FRG.TAL1.K562	K562	TAL1	-0.33071999999999996	0.026733921815889	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR107GRP.MLLT1.K562	K562	MLLT1	-0.33715	0.00331768388106416	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR109YGM.CREB3L1.K562	K562	CREB3L1	-0.34726	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR110QXM.TCF25.HEPG2	HEPG2	TCF25	-0.33563000000000004	0.0205958549222798	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR113LAS.MTA2.K562	K562	MTA2	-0.32638	0.0602130177514793	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR113REG.CTCF.KARPAS422	KARPAS422	CTCF	-0.34693	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR115SMW.PKNOX1.K562	K562	PKNOX1	-0.33938	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR116TFA.NR3C1.A549	A549	NR3C1	-0.3741	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR117KWH.ZNF207.GM12878	GM12878	ZNF207	-0.3455	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR117WTM.ZNF24.K562	K562	ZNF24	-0.33541	0.00616279069767442	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR124BJR.ETV6.K562	K562	ETV6	-0.35903	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR125DKL.CTCF.SUDHL6	SUDHL6	CTCF	-0.34309	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR125ZYC.KLF9.MCF7	MCF7	KLF9	-0.35534	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR126FZN.PTRF.K562	K562	PTRF	-0.34973000000000004	0.0364619164619165	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR135ANT.NRF1.MCF7	MCF7	NRF1	-0.38641	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR137ZMQ.REST.K562	K562	REST	-0.33721	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR138FUZ.RNF2.K562	K562	RNF2	-0.36069	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
